#mpa_vJan21_CHOCOPhlAnSGB_202103
clade_name	A1E02M01.mp.profile	A1E02M02.mp.profile	A1E02M04.mp.profile	A1E02M05.mp.profile	A1E02M07.mp.profile	A1E02M08.mp.profile	A1E02P1.mp.profile	A1E02P2.mp.profile	A1E03M01.mp.profile	A1E03M02.mp.profile	A1E03M05.mp.profile	A1E03M06.mp.profile	A1E03P1.mp.profile	A1E03P2.mp.profile	A1E03P3.mp.profile	A1E03P4.mp.profile	A1E04M01.mp.profile	A1E04M02.mp.profile	A1E04M04.mp.profile	A1E04M05.mp.profile	A1E04M07.mp.profile	A1E04M08.mp.profile	A1E04P1.mp.profile	A1E04P2.mp.profile	A1E04P3.mp.profile	A1E04P4.mp.profile	A1E09F1.mp.profile	A1E09F2.mp.profile	A1E09M01.mp.profile	A1E09M02.mp.profile	A1E09M06.mp.profile	A1E09M07.mp.profile	A1E09M1.mp.profile	A1E09M2.mp.profile	A1E10F.mp.profile	A1E10M01.mp.profile	A1E10M02.mp.profile	A1E10M04.mp.profile	A1E10M05.mp.profile	A1E10M.mp.profile	A1E12F.mp.profile	A1E12M01.mp.profile	A1E12M02.mp.profile	A1E12M05.mp.profile	A1E12M06.mp.profile	A1E12M.mp.profile	Wild116.mp.profile	X608.mp.profile
k__Bacteria|p__Firmicutes|c__CFGB9827	0.55154	0.57527	0.19519	0.56248	0.00995	0.2744	0.0	0.02343	0.48507	0.76525	0.53287	1.08399	0.40331	0.69464	0.33379	0.13418	0.0398	0.16053	0.19829	0.69019	0.37505	0.04068	0.00337	0.02478	0.01329	0.0	0.77024	0.0571	0.11298	0.07926	0.24773	0.06468	0.06237	0.61298	0.0	0.03129	0.05592	0.05485	0.00701	0.0	0.01379	0.0305	0.00755	0.04451	0.02299	0.19034	0.67629	0.17112
k__Bacteria|p__Firmicutes|c__CFGB9479	0.54849	0.8265	0.34294	0.49989	0.42033	0.21981	0.95211	0.83432	0.60835	1.08006	1.05331	1.02274	0.82947	0.35062	0.50635	0.45435	1.62174	1.14516	3.37278	1.15372	0.60027	0.67033	0.20621	0.20904	0.42992	0.26943	1.12741	0.51033	1.23368	0.68014	0.59233	0.36466	0.28578	1.23802	0.60961	1.06866	0.84027	0.80155	0.95584	0.49969	1.13779	0.26837	0.53335	0.4705	0.60328	0.53813	0.96404	1.1714
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	0.49259	1.00745	0.49833	1.61608	0.7559	0.35423	1.32604	2.83902	1.55275	1.7864	1.31495	0.784	2.91534	3.91575	1.62743	1.80657	5.38962	1.74461	1.93829	1.70361	0.755	0.84349	0.48076	0.71573	1.20013	0.69331	2.67207	0.99977	0.57932	1.00641	1.01272	0.59482	0.50875	2.02055	1.27364	2.81529	1.36836	0.90004	1.73834	0.14418	1.76252	1.04224	0.7777	0.87834	1.13826	1.46548	3.28655	3.60118
k__Bacteria|p__Firmicutes|c__CFGB9650	0.46836	0.33953	0.20201	0.30818	1.02235	0.28684	0.43229	1.28089	0.34205	0.41958	0.32836	0.36719	0.23487	0.22857	0.23652	0.22427	1.56702	0.57528	0.64696	0.6659	0.27401	0.12578	0.19011	0.82012	0.60074	0.17808	0.24665	0.12041	0.10119	0.03246	0.39495	0.66938	0.0646	0.35545	0.78271	2.72219	0.33768	3.48433	3.11704	0.36912	0.5953	0.38532	0.55801	0.20156	1.13757	0.45681	0.29648	0.62733
k__Bacteria|p__Firmicutes|c__CFGB8157	0.43235	0.18136	0.21909	3.39984	2.36614	0.37751	1.9318	3.64636	2.16605	2.18509	3.23239	7.83307	3.79718	5.76846	2.01986	3.42478	20.71738	3.80839	4.09871	2.05936	1.01802	0.17362	0.52476	0.79526	3.47503	2.10613	4.40307	2.63545	0.23364	0.41348	0.63516	4.94672	1.76323	3.97344	0.50481	2.00709	1.9274	1.03618	1.25028	0.08473	1.74362	3.00078	0.3649	0.7233	6.11544	2.23328	7.28044	7.27518
k__Bacteria|p__Firmicutes|c__CFGB9508	0.29266	0.8036	1.06731	0.86474	0.21108	0.46392	0.0	0.0	0.08367	0.25864	0.0	0.14252	0.06559	0.40224	0.07612	0.29248	0.03373	0.74888	0.3248	0.52457	0.80461	0.82106	0.47412	0.38183	0.6465	0.46251	0.14931	0.17481	0.19511	0.0	0.0	0.14949	0.0015	0.19337	0.0	0.08159	0.10785	0.59806	0.12108	0.0	0.03695	1.79024	0.07199	0.16928	0.38671	0.06199	0.15173	0.0
k__Bacteria|p__Firmicutes|c__CFGB9517	0.21985	0.3529	0.26485	0.08757	0.33443	0.1533	0.04141	0.07206	0.28909	0.09865	0.59367	0.08649	0.0	0.02681	0.00232	0.00571	0.1055	0.02646	0.22166	0.07658	0.174	0.13284	0.03716	0.07414	0.07107	0.15403	0.0	0.0	0.25084	0.07441	0.124	0.0055	0.0	0.0	0.14888	0.03979	0.07163	0.13822	0.00854	0.0	0.04686	0.07058	0.03849	0.11595	0.10897	0.0	0.0	0.10743
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.21444	0.47899	0.05104	0.07587	0.0	0.10585	0.13358	0.24237	0.08913	0.28035	0.19874	0.70384	0.34626	0.26212	0.22003	0.2507	0.45331	0.51347	1.02303	0.61926	0.09526	0.08133	0.07188	0.05933	0.09803	0.01542	0.22211	0.36429	0.33781	0.0808	0.21147	0.05709	0.07208	0.08517	0.11018	0.09406	0.14821	0.12466	0.10486	0.0	0.11349	0.10508	0.11297	0.08791	0.08816	0.07326	1.16052	0.4205
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.21314	0.09477	0.02628	0.2274	0.0	0.05862	0.0	0.39136	0.03067	0.0827	0.004	0.00284	0.01245	10.31364	0.05631	0.01459	0.84014	0.2499	0.18954	0.02564	0.04459	0.02096	0.0	0.00706	0.06271	0.0	0.0	0.0	0.00336	0.0	0.0	0.01296	0.00936	0.0	0.0	0.0	0.0	0.01726	0.01082	0.0	0.0	0.01221	0.06802	0.05049	0.00522	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB28398	0.21192	0.44445	0.44396	0.15901	0.15427	0.1788	0.11206	0.04545	0.11374	0.00487	0.29797	0.6439	0.02557	0.12273	0.03338	0.04777	0.00845	0.10269	0.00221	0.10433	0.15595	0.26683	0.24471	0.18539	0.28007	0.15834	0.0	0.0	0.0813	0.17437	0.02393	0.07314	0.0	0.0	0.06372	0.00268	0.01939	0.34141	0.0	0.0	0.02712	0.21119	0.1118	0.03205	0.09366	0.00077	0.0	0.00154
