DATASET_LABELS
SEPARATOR TAB
DATASET_NAME	Species Labels
DonB_bin_41	f_Muribaculaceae_bin41
DonB_bin_42	NA_bin42
DonB_bin_43	f_Lachnospiraceae_bin43
DonB_bin_44	f_Lachnospiraceae_bin44
DonB_bin_45	Adlercreutzia sp004793465_bin45
DonB_bin_46	f_Lachnospiraceae_bin46
DonB_bin_47	g_Acutalibacter_bin47
DonB_bin_48	g_Eubacterium_R_bin48
DonB_bin_49	f_Oscillospiraceae_bin49
DonB_bin_5	g_Acutalibacter_bin5
DonB_bin_50	f_Oscillospiraceae_bin50
DonB_bin_51	f_Muribaculaceae_bin51
DonB_bin_52	Muribaculum intestinale_bin52
DonB_bin_53	g_Eubacterium_J_bin53
DonB_bin_54	Acetatifactor sp003612485_bin54
DonB_bin_55	f_Lachnospiraceae_bin55
DonB_bin_56	Mucispirillum schaedleri_bin56
DonB_bin_57	f_Acutalibacteraceae_bin57
DonB_bin_58	Bifidobacterium animalis_bin58
DonB_bin_59	f_Muribaculaceae_bin59
DonB_bin_6	g_Schaedlerella_bin6
DonB_bin_60	f_Ruminococcaceae_bin60
DonB_bin_61	f_Lachnospiraceae_bin61
DonB_bin_62	f_Muribaculaceae_bin62
DonB_bin_63	f_o_Bacteroidales_bin63
DonB_bin_64	g_Hungatella_A_bin64
DonB_bin_65	NA_bin65
DonB_bin_66	f_Lachnospiraceae_bin66
DonB_bin_67	g_Alistipes_bin67
DonB_bin_68	Parvibacter caecicola_bin68
DonB_bin_69	NA_bin69
DonB_bin_7	g_Limosilactobacillus_bin7
DonB_bin_70	g_Flavonifractor_bin70
DonB_bin_71	f_Lachnospiraceae_bin71
DonB_bin_72	g_Flavonifractor_bin72
DonB_bin_73	f_Eggerthellaceae_bin73
DonB_bin_74	g_Mailhella_bin74
DonB_bin_75	Limosilactobacillus reuteri_D_bin75
DonB_bin_76	g_Oscillibacter_bin76
DonB_bin_77	f_Lachnospiraceae_bin77
DonB_bin_78	f_Muribaculaceae_bin78
DonB_bin_79	f_Lachnospiraceae_bin79
DonB_bin_8	Escherichia coli_bin8
DonB_bin_80	Duncaniella sp001689425_bin80
DonB_bin_81	f_Oscillospiraceae_bin81
DonB_bin_82	Schaedlerella sp000364245_bin82
DonB_bin_83	g_Acetatifactor_bin83
DonB_bin_84	g_Lawsonibacter_bin84
DonB_bin_85	g_Oscillibacter_bin85
DonB_bin_86	f_Oscillospiraceae_bin86
DonB_bin_87	NA_bin87
DonB_bin_88	f_Lachnospiraceae_bin88
DonB_bin_89	NA_bin89
DonB_bin_9	g_Dorea_bin9
DonB_bin_90	g_Oscillibacter_bin90
DonB_bin_91	f_Lachnospiraceae_bin91
DonB_bin_92	Duncaniella muris_bin92
DonB_bin_93	NA_bin93
DonB_bin_94	g_Lawsonibacter_bin94
DonB_bin_95	Erysipelatoclostridium cocleatum_bin95
DonB_bin_96	g_Flavonifractor_bin96
DonB_bin_97	f_Eggerthellaceae_bin97
DonB_bin_98	Muribaculum intestinale_bin98
DonB_bin_99	Lactobacillus taiwanensis_bin99
