FIELD_LABELS	A	AB	AB-2	AB-3	AB-4	AB-5	AB-6	AB-7	AB-8	AB-9	AB0	ABAB	ABAB-2	ABAB-3	ABAB-4	ABAB-5	ABAB-6	ABAB-7	ABAB-8	ABAB-9	ABAB0	B	BA	BA-2	BA-3	BA-4	BA-5	BA-6	BA-7	BA-8	PA	PA-2	PA-3	PAB	PAB-2	PAB-3	PAB-4	PAB-5	PAB-6	PB	PB-2	PB-3	PB-4	PB-5	PB-6	PB-7	PB-8
FIELD_TREE	((B:142.3955784,(PB-2:139.5193445,((PB-5:76.02154579,PB-8:76.02154579):50.6651109,((PB:83.57877033,PB-4:83.57877033):33.33712408,(PB-3:102.1277802,(PB-6:71.86144846,PB-7:71.86144846):30.26633171):14.78811424):9.770762289):12.83268783):2.876233903):160.108013,((PA-2:127.7617125,(A:118.1359852,(PA:97.87470741,PA-3:97.87470741):20.26127781):9.625727274):86.96870461,(((BA-7:127.2221097,BA-8:127.2221097):37.35176258,((BA:105.4371149,BA-2:105.4371149):44.59537833,(BA-3:115.5984187,BA-4:115.5984187):34.43407456):14.54137905):27.47329182,(((AB-5:159.628519,(AB-8:96.92471331,(AB-9:81.50281184,(AB-7:79.30488005,AB0:79.30488005):2.197931791):15.42190146):62.70380568):15.79913428,(((PAB-5:109.3299731,PAB-6:109.3299731):41.96741026,((PAB-2:82.0926705,PAB-3:82.0926705):53.38262317,(PAB:105.7644425,PAB-4:105.7644425):29.71085116):15.82208973):15.4192982,(((ABAB-7:111.6617077,ABAB-8:111.6617077):16.29105802,(ABAB-9:114.002161,(ABAB-5:87.35916237,ABAB-6:87.35916237):26.64299863):13.95060475):28.62179485,(AB-6:128.36994,(AB-4:107.5344726,(AB-3:102.300002,(AB:76.06679417,AB-2:76.06679417):26.23320781):5.234470609):20.83546744):28.20462057):10.14212099):8.710971663):10.05434819,((BA-5:99.4395892,BA-6:99.4395892):82.71825963,((ABAB-3:129.8309142,(ABAB-2:110.0470767,ABAB-4:110.0470767):19.78383741):28.43180625,(ABAB:145.1259023,ABAB0:145.1259023):13.13681808):23.89512842):3.324152614):6.565162668):22.68325299):87.77317435);
DATA
DonA_bin_133	75.77	75.09	43.05	64.16	80.47	83.44	22.52	77.78	82.94	87.71	82.52	42.2	15.31	96.28	32.49	77.46	14.29	24.1	33.52	16.54	12.57	36.16	19.61	29.06	26.63	48.64	16.99	14.39	25.2	14.39	62.97	41.36	35.2	15.63	16.77	31.24	15.33	85.08	88.7	23.58	31.41	28.55	31.04	12.81	6.72	12.21	28.82
DonA_bin_14	45.19	46.31	64.19	38.62	21.37	22.85	7.97	35.61	32.46	66.48	26.71	58.8	84.92	73.48	75.02	54.51	28.44	21.43	10.24	30.31	43.37	8.32	32.89	21.28	32.35	44.82	19.43	15.08	16.69	15.84	49.73	88.84	18.14	38	35.24	44.81	10.2	47.78	56.2	6.96	5.65	5.98	10.54	7.78	3.12	3.05	4.99
DonA_bin_16	99.72	99.69	99.7	99.79	99.96	99.75	99.98	98.48	99.52	98.51	99.28	93.84	99.62	98	98.84	97.65	97.64	99.81	99.84	99.62	99.11	15.62	98.01	96.69	98.75	94.39	99.25	99.49	97.49	97.96	99.97	99.87	99.93	97.13	99.94	99.67	12.56	99.4	94.7	18.05	14.05	18.9	17.81	16.87	17	15.13	12.16
DonA_bin_19	59.4	44.34	38.09	49.74	56.26	0.78	2.71	90.53	43.71	30.67	14.52	56.44	80.95	59.73	59.26	64.37	32.96	1.56	1.16	12.79	19.08	1.14	11.94	12.68	11.76	5.54	8.76	1.88	59.87	3.93	13.09	49.82	22.72	2.75	8.03	2.19	0.57	6.59	7.64	0.59	1.03	0.45	0.5	0.68	0.37	0.33	0.75
DonA_bin_21	48.85	10.07	9.25	31.19	47.27	28.32	12.74	85.13	55.64	97.54	95.6	21.22	3.26	0.06	0.1	53.49	23.29	7.36	3.3	49.8	62.37	0.19	39.96	23.52	9.57	3.49	46.84	44.59	7.33	39.97	21.37	57.97	6.18	19.12	48.22	10.29	21.23	15.33	72.44	0.09	0.07	0.02	0.06	0.05	0.02	0.07	0.05
DonA_bin_22	16.66	37.06	28.93	7.51	43.39	19.63	4.54	60.63	55.33	36.2	70.89	92.26	59.63	8.82	26.05	59.67	32.1	27.85	3.8	64.96	76.52	1.83	12.03	54.45	63.96	47.52	19.53	12.09	31.19	44.38	44.71	72.23	24.71	3.36	5.02	14.49	1.74	59.26	47.73	1.69	1.89	0.96	1.13	1.94	1.27	1.26	1.81
DonA_bin_23	63.17	42.1	46.49	60.28	34.27	32.76	59.72	55.56	62.84	56.81	47.83	16.59	47.77	32.22	51.91	74.94	67.8	81.42	70.47	60.24	53.63	0.13	76.32	73.27	52.38	17.19	24.91	18.76	40.2	61.99	49.86	42.25	93.85	18.2	43.13	29.18	6.41	29.06	27.27	0.17	0.09	0.04	0.08	0.07	0.09	0.1	0.06
DonA_bin_24	69.09	50.04	44.44	67.55	52.16	57.44	66.38	21.71	50.68	34.15	24.45	10.96	35.95	24.47	39.81	70.48	73.74	65.61	61.57	78.02	45.56	0.25	85.12	76.08	71.5	41.21	5.47	17.49	45.72	37.31	89.84	64.22	97.38	21.45	25.85	22.6	23.63	9.83	35.27	0.33	0.25	0.17	0.21	0.2	0.2	0.23	0.15
DonA_bin_25	39.43	35.84	54.65	10.5	16.85	2.63	22.14	13.14	22.93	20.11	22.61	28.52	50.26	58.83	47.42	16.04	18.31	23.27	27.3	19.91	14.98	4.22	8.69	22.51	17.07	30.21	43.28	17.84	20.16	13.7	20.49	31.93	20.49	1.65	6.78	15.84	4.32	17.19	18.13	1.79	1.44	0.8	1.36	3.45	1	0.92	2.74
DonA_bin_28	28.89	80.62	91.45	87.31	80.21	91.77	79.48	59.41	75.45	63.79	2.87	41.14	47.63	5.73	23.16	67	83.13	12.38	11.41	60.4	50.28	0.37	78.53	41.89	3.79	7.85	75.32	83.09	64.8	59.73	2.63	90.92	47.91	2.71	89.89	70.09	39.56	33.71	23.36	0.16	0.46	0.29	0.45	0.16	0.25	0.11	0.14
