FIELD_LABELS	A	AB	AB-2	AB-3	AB-4	AB-5	AB-6	AB-7	AB-8	AB-9	AB0	ABAB	ABAB-2	ABAB-3	ABAB-4	ABAB-5	ABAB-6	ABAB-7	ABAB-8	ABAB-9	ABAB0	B	BA	BA-2	BA-3	BA-4	BA-5	BA-6	BA-7	BA-8	PA	PA-2	PA-3	PAB	PAB-2	PAB-3	PAB-4	PAB-5	PAB-6	PB	PB-2	PB-3	PB-4	PB-5	PB-6	PB-7	PB-8
FIELD_TREE	((B:142.3955784,(PB-2:139.5193445,((PB-5:76.02154579,PB-8:76.02154579):50.6651109,((PB:83.57877033,PB-4:83.57877033):33.33712408,(PB-3:102.1277802,(PB-6:71.86144846,PB-7:71.86144846):30.26633171):14.78811424):9.770762289):12.83268783):2.876233903):160.108013,((PA-2:127.7617125,(A:118.1359852,(PA:97.87470741,PA-3:97.87470741):20.26127781):9.625727274):86.96870461,(((BA-7:127.2221097,BA-8:127.2221097):37.35176258,((BA:105.4371149,BA-2:105.4371149):44.59537833,(BA-3:115.5984187,BA-4:115.5984187):34.43407456):14.54137905):27.47329182,(((AB-5:159.628519,(AB-8:96.92471331,(AB-9:81.50281184,(AB-7:79.30488005,AB0:79.30488005):2.197931791):15.42190146):62.70380568):15.79913428,(((PAB-5:109.3299731,PAB-6:109.3299731):41.96741026,((PAB-2:82.0926705,PAB-3:82.0926705):53.38262317,(PAB:105.7644425,PAB-4:105.7644425):29.71085116):15.82208973):15.4192982,(((ABAB-7:111.6617077,ABAB-8:111.6617077):16.29105802,(ABAB-9:114.002161,(ABAB-5:87.35916237,ABAB-6:87.35916237):26.64299863):13.95060475):28.62179485,(AB-6:128.36994,(AB-4:107.5344726,(AB-3:102.300002,(AB:76.06679417,AB-2:76.06679417):26.23320781):5.234470609):20.83546744):28.20462057):10.14212099):8.710971663):10.05434819,((BA-5:99.4395892,BA-6:99.4395892):82.71825963,((ABAB-3:129.8309142,(ABAB-2:110.0470767,ABAB-4:110.0470767):19.78383741):28.43180625,(ABAB:145.1259023,ABAB0:145.1259023):13.13681808):23.89512842):3.324152614):6.565162668):22.68325299):87.77317435);
DATA
DonB_bin_39	0.9	8.23	94.86	7.19	33.88	94.96	84.94	57.99	37.7	75.63	53.21	40.95	42.11	66.73	57.15	67.95	71.12	75.46	84.17	68.86	21.98	87.92	42.69	29.71	57.73	39.97	71.54	77.96	55.33	59.4	0.66	0.81	0.39	45.88	81.87	81.19	63.09	68.49	82.93	97.44	67.86	95.43	90.46	85.24	90.68	66.96	82.93
DonB_bin_40	5.54	4.58	5.44	4.83	5.77	2.9	2.09	10.15	8.85	5.04	3.87	16.95	14.64	17.79	15.65	14.31	8.63	5.31	3.9	6.08	11.38	25.12	6.99	5.98	11.03	4.55	11.59	9.77	8.34	9.19	9.41	18.7	7.19	3.79	15.51	29.05	10.2	16.47	19.71	61.44	29.56	27.76	20.65	40.86	29.29	23.29	29.33
DonB_bin_43	2	3.18	2.82	1.32	8.66	5.64	1.92	9.4	2.22	3.15	5.36	43.98	87.09	45.42	66.9	61.11	55.45	3.59	3.27	37.69	15.22	99.32	19.55	64.19	81.71	50.89	40.64	38	80.58	11.35	1.08	2.22	1.17	14.18	10.2	34.85	37.93	64.21	65.64	82.22	88.8	30.13	83.17	98.43	29.18	68.16	98
DonB_bin_44	4.07	10.13	10.61	2.68	28.55	4.18	7.27	70.95	40.42	39.2	27.97	86.33	41.35	23.69	40.23	9.6	5.29	37.8	6.43	22.14	92.32	64.94	18.08	65.34	52.8	35.94	51.63	81.17	66.25	20.53	1.15	6.74	1.11	3.54	3.82	9.43	8.12	20.36	19.48	33.45	48.79	34.95	50.17	46.93	37.73	27.7	64.97
DonB_bin_45	9.6	11.22	17.28	14.84	17.67	72.79	19.25	34.01	24.46	19.25	17.95	25.02	27.08	50.1	18.99	47.82	30.56	17.81	26.15	34.31	26.84	43.06	16.05	13.32	7.62	17.83	49.07	51.43	21.11	27.41	6.79	2.45	14.35	26.51	42.11	13.32	13.18	50.44	30.46	39.42	39.7	17.86	53.14	10.58	22.27	59.74	14.48
DonB_bin_46	5.86	65.61	31.09	9.24	43.68	1.07	9.09	30.63	1.83	84.02	21.01	13.25	12.66	12.5	16.26	9.89	6.36	10.37	2.03	7.31	57.56	14.66	7.97	9.38	69	52.09	12.8	6.55	98.94	7.12	14.39	5.56	2.01	13.02	4.83	25.73	2.27	15.93	51.54	63.27	78.67	34.25	34.53	31.93	15.6	17.26	56.62
DonB_bin_47	0.63	7.19	7.06	2.42	3.67	3.24	7.21	1.43	1.18	3.12	2.93	3.59	9.32	5.18	3.47	1.95	4.68	8.98	5.96	3.85	2.03	46.79	3.11	1.81	2.17	2.19	5.51	4.47	1.35	2.76	0.37	0.64	0.35	4.88	13.17	12.52	6.12	14.39	7.91	80.34	47.59	61.93	49.57	88.23	32.31	6.57	45.33
DonB_bin_48	0.32	29.73	18.34	4.18	17.99	2.17	0.33	0.31	0.27	0.29	0.27	31.42	11.31	1.07	19.57	19.78	6.39	0.33	0.26	33.59	9.88	34.49	47.09	60.11	47.6	17.03	12.56	6.64	51.53	24.76	0.27	0.3	0.21	44.29	36.82	56.75	36.23	26.03	67.4	64.04	91.46	48.7	84.86	72.25	57.23	54.65	75.89
DonB_bin_5	1.05	2.49	2.56	1.52	3	3.64	3.19	2.2	2.29	3.38	2.77	8.01	16.79	18.49	11.54	4.78	10.01	8.63	21.12	10.69	8.15	20.7	5.29	5.87	13.46	15.66	13.92	11.23	3.38	8.74	0.28	1.03	0.52	8.79	9	14.37	15.59	12.2	6.37	37.77	14.78	38.32	14.49	10.89	9.31	4.84	11.02
DonB_bin_51	0.72	3.52	4.59	5.5	1.93	2.3	3.81	0.49	0.6	0.66	0.72	0.42	1.22	0.38	1.74	6.12	6.59	1.78	1.54	1.4	0.92	99.1	16.9	12.21	8.05	1.63	0.76	0.86	2.83	5.94	0.65	0.44	1.01	28.39	10.68	1.55	94.51	5.28	53.29	61.3	20.43	99.44	99.91	65.21	99.95	92.83	87.59
DonB_bin_52	1.53	82.03	68.79	89.68	55.02	42.8	59.8	15.49	46.96	9.03	14.1	9.25	37.93	8.75	27.87	81.51	89.93	61.2	48.72	44.22	20.75	90.62	76.42	68.21	37.42	15.62	3.27	46.18	85.86	51.09	0.82	0.8	0.93	98.97	89.35	67.45	95.55	54.75	80.23	99.34	72.89	99	88.62	93.63	99.08	98.03	94.73
DonB_bin_53	1.68	1.03	0.86	0.56	1.06	0.77	0.57	1.55	1.43	1.44	1.46	2.06	1.15	1.2	1.41	2.4	0.84	0.76	0.6	0.9	1.34	96.22	4.84	29.59	1.59	1.49	0.89	0.76	1.15	1.05	1.2	1.74	0.91	0.55	1.07	1.23	0.6	1.53	2.01	66.5	94.62	38.19	29.34	97.21	90.31	88.23	98.06
DonB_bin_54	0.97	9.57	13.6	9.99	84.82	2.58	15.89	6.88	6.3	17.49	11.41	92.52	20.65	31.5	21.26	4.93	7.49	26.15	4.09	9.52	33.44	81.86	9.97	26.38	61.15	38.54	4.79	36.94	4.85	16.19	0.67	1.73	0.59	28.04	12.17	32.33	40.42	26.21	21.88	85.2	94.01	64.14	87.76	61.32	28.56	16.51	61.61
DonB_bin_55	2.15	1.68	1.61	1.08	2.09	1.61	1.25	3.47	2.61	3.42	2.56	4.48	1.98	1.99	3.38	1.93	1.56	1.26	1.1	1.36	3.35	81.84	4.47	10.13	2.92	3.2	2.31	2.97	3.9	1.8	1.5	2.17	1.83	1.03	2.76	2.8	0.99	2.69	2.97	13.09	47.13	4.29	8.76	44.57	14.31	10.88	38.8
DonB_bin_56	0.21	75.32	26.52	41.04	65.05	28.73	62.39	0.12	0.15	27.87	4.99	19.08	1.9	0.67	4.08	14.66	10.78	43.37	43.02	11.18	21.01	41.47	59.94	49.62	50.51	22.8	74.44	14.43	10.1	6.84	0.18	0.15	0.05	41.42	29.69	29.07	18.69	16.61	38	39.6	72.42	33.32	38.37	15.6	33.18	21	30.47
DonB_bin_58	0.07	0.03	0.03	0.03	0.03	0.02	0.02	0.03	0.03	0.02	0.02	0.05	0.05	0.03	0.03	0.04	0.04	0.04	0.04	0.03	0.03	80.73	0.04	0.03	0.05	0.05	0.04	0.02	0.01	0.02	0.02	0.04	0.02	16.02	0.24	10.13	0.04	0.06	0.29	41.8	0.84	34	16.78	0.08	47.72	22.37	0.39
DonB_bin_59	6.16	99.93	99.9	99.99	99.91	45.31	99.87	50.36	94.2	57.09	62.56	16.67	71.43	12.06	83.95	99.15	99.5	94.47	95.54	82.36	69.97	99.84	99.91	99.88	99.82	99.66	4.62	20.19	97.93	99.71	1.23	1.12	1.56	99.9	99.06	98.13	99.63	98.19	98.77	99.97	98.33	99.92	99.81	98.15	99.84	99.81	99.38
DonB_bin_6	1.5	1.39	1.32	0.72	1.48	1.51	0.8	2.1	1.58	1.95	1.94	2.87	1.75	1.53	2.09	1.33	1.03	1.05	1.08	1.31	1.79	37.39	1.3	2.54	3.38	2.15	1.93	1.19	1.71	1.43	1.14	1.42	1.06	0.76	1.47	2.27	0.83	2.26	2.34	18.26	33.91	13.35	21.22	14.58	15.17	21.79	9.74
DonB_bin_60	0.46	63.25	69.87	15.51	18.44	2.41	81.95	39.45	74.42	49.49	58.55	44.38	74.76	41.1	31.5	21.35	20.94	59.87	55.06	71.82	16.46	39.33	10.84	36.18	40.32	10.94	42.4	30.38	13.09	44.64	0.28	0.26	0.18	45.8	65.07	56.15	38.59	53.33	55.35	64.2	50.46	52.35	55.04	50.8	32.51	30.69	40.34
DonB_bin_61	0.97	11.57	7.79	3.45	6.76	0.2	0.53	1.37	1.18	1.23	1.23	3.96	7.31	2.68	5.92	6.69	4.02	1.21	8.68	7.93	4.83	15.26	3.44	10.96	6.67	3.56	3.51	9.2	5.28	3.75	1.01	1.55	1.03	2.68	3.16	4.49	2.58	10.57	9.81	15.46	44.65	21	22.16	16.75	24.18	9.06	25.86
DonB_bin_63	0.78	0.42	0.28	0.41	0.59	0.25	0.21	0.09	0.13	0.13	0.09	19.29	39.21	38.98	57.35	52.45	72.49	30.24	19.12	14.06	42.49	93.46	59.85	84.47	98.69	65.47	20.35	16.62	73.9	68.8	0.18	0.16	0.19	94.32	97.82	98.68	92.06	42.55	93.83	64.44	1.21	0.17	73.05	99.74	99.69	98.19	99.62
DonB_bin_64	10.77	5.59	11.43	3.87	6.25	0.49	5.79	3.91	5.27	13.37	11.24	11.35	11.1	7.35	15.73	8.38	5.75	2.16	1.96	5.89	5.12	50.13	10.96	32.67	14.64	12.28	8.18	7.58	19.15	7.61	8.04	10.12	7.22	1.24	5.38	12.14	2.82	14.6	10.35	35.77	25.45	30.1	25.28	43.56	19.21	10.06	40.64
DonB_bin_66	2.12	1.35	1.21	0.96	1.61	1.15	0.82	1.85	1.7	1.6	1.6	2.27	1.65	1.6	1.84	1.28	0.99	1.02	0.87	1.05	1.63	14.12	1.26	2.16	1.61	1.97	1	0.93	1.52	1.19	1.38	2.05	1.13	1.21	2.38	2.22	1.6	2.76	2.52	95.66	86.74	78.45	74.77	96.82	59.78	31	92.14
DonB_bin_67	10.59	24.09	24.26	17.57	20.67	24.42	17.51	13.04	21.42	16.26	9.47	11.55	22.61	22.89	24.82	14.65	26.06	29.58	30.08	19.72	21.19	58.85	83.46	80.48	96.45	99.2	99.31	64.05	94.71	86.96	12.75	19.42	12.48	7.27	10.23	10.1	5.1	4.04	6.36	89.04	99.62	87.15	97.38	98.11	93.23	82.51	98.46
DonB_bin_68	0.69	3.14	5.05	4.19	3.67	33.53	12.52	34.91	18.6	33.75	38.92	13.58	15.49	14.82	8.71	13.18	10.15	7.47	11.84	12.91	7.48	72.11	11.37	13.8	8.29	12.43	40.67	61.98	18.39	22.96	0.5	0.34	0.78	7.02	17.31	6.65	5.63	8.85	6	47.48	23.91	56.39	34.14	19.82	60.99	53.51	24
DonB_bin_7	0.24	6.74	0.88	18.01	19.88	1.09	0.65	0.22	0.08	6.85	24.62	0.16	0.11	0.12	0.09	3.71	1.8	0.07	0.02	6.7	13.27	19.71	5.61	1.84	0.13	0.1	0.1	0.05	0.12	0.1	0.18	0.06	0.05	2.16	0.27	0.08	1.3	9.4	23.06	28.93	78.2	24.55	75.57	0.03	63.39	11	1
DonB_bin_70	1.03	8.81	6.34	6.99	8.04	8.88	11.81	10.97	10.12	6.29	2.41	19.92	22.47	30.84	15.18	6.44	5.9	4.27	3.69	3.12	11.73	2.52	10.33	6.68	15.14	31.86	18.16	11.85	6.56	5.92	3.57	14.05	6.1	12.81	16.68	21.6	14.47	11.85	10.37	14.63	34.66	13.63	28.79	12.12	7.6	3.29	8.27
DonB_bin_71	0.37	0.26	0.28	0.19	0.54	0.17	0.16	0.31	0.37	0.39	0.3	0.55	0.27	0.32	0.38	0.29	0.2	0.18	0.1	0.25	0.3	11.74	0.93	5.54	0.59	0.7	0.24	0.15	0.25	0.23	0.32	0.55	0.16	0.17	0.32	0.34	0.16	0.32	0.46	41.64	49.6	16.03	40.77	80.68	47.7	49.92	87.02
DonB_bin_72	3.99	9.09	18.95	11.71	6.98	16.85	7.93	16.7	17.65	16.5	8.51	21.18	28.75	23.78	22.13	14.32	14.29	14.56	7.46	10.96	15.13	25.18	84.61	59.49	82.95	90.3	23.17	15.48	60.05	9.47	7.52	15.23	6.49	12.88	17.21	17.68	8.43	11.71	10.89	53.38	67.08	63.41	62.18	81.44	57.38	32.53	70.63
DonB_bin_73	7.52	2.75	4.01	3.48	3.35	16.26	6.54	11.48	8.18	7.62	12.56	2.85	4.78	10.46	6	7.9	5.88	3.35	4.77	8.59	6.04	96.9	5.7	4.05	4.16	1.36	10.26	12.28	5.81	6.73	4.54	2.52	6.18	11.45	9.19	3.7	2.69	8.82	8.46	66.95	44.68	68.39	78.29	60.79	84.84	87.24	58.18
DonB_bin_74	0.2	29.22	31.82	26.41	36.31	53.35	44.49	0.24	0.19	21.4	23.28	18.01	41.1	34.91	22.85	29.88	23.42	50.62	52.7	50.89	29.62	62	44.29	26.99	39.13	45.56	44.46	29.97	17.69	31.38	0.24	0.14	0.2	40.04	72.7	28.95	36.41	12.35	14.7	73.89	0.18	0.13	55.42	43.04	46.85	25.43	39.11
DonB_bin_75	15.57	3.11	1.05	3.04	3.52	19.01	3.59	10.68	1.9	7.14	16.64	4.8	0.53	0.04	0.96	2.55	1.62	1.03	0.44	12.8	8.88	66.15	4.81	2.5	4.06	0.18	4.54	4.52	4.65	3.19	6.71	1.46	7.16	1.91	0.4	0.23	2.88	22.02	7.27	21.05	40.56	23.06	21.38	14.91	59.81	62.9	52.8
DonB_bin_77	0.7	4.65	15.88	4.6	5.45	3.69	4.48	12.28	35.07	2.58	10.39	33.66	29.95	31.73	47.05	20.52	6.08	0.85	1.09	2.44	48.61	43.16	5.27	18.92	11.85	6.78	12.55	8.87	32.87	7.63	0.36	0.7	0.19	1.36	12.48	20.04	3.65	48.56	29.98	33.65	33.59	13.41	15.59	41.5	21.72	16.42	66.87
DonB_bin_78	21.34	23.38	24.51	26	26.22	19.52	30.11	14.33	20.55	15.76	18.86	10.86	24.41	14.65	20.88	29.95	30.06	32.85	35.03	34.43	26.25	95.26	68.3	67.42	31.99	19.77	29.4	42.08	25.15	29.2	27.26	20.56	26.99	24.36	29.44	28.28	79.34	28.24	27.3	98.48	94.22	98.6	97.95	96.52	97.73	95.15	92.41
DonB_bin_79	2.12	0.23	0.23	0.15	0.52	0.18	0.13	0.37	0.28	0.28	0.26	0.58	0.34	1.79	0.36	0.21	0.13	0.13	0.1	0.17	0.3	5.04	0.3	3.35	0.47	0.47	0.24	0.14	0.25	0.16	0.74	1.52	0.37	0.18	0.3	0.28	0.08	0.27	0.35	30.84	44.55	2.98	5.81	45.82	27.77	7.64	60.65
DonB_bin_8	0.07	9.76	4.55	2.37	9.05	0.13	3.35	0.05	0.23	1.41	1.81	71.15	43.49	32.96	6.56	12.62	9.49	6.28	18.12	15.89	6.45	1.18	9.52	19.79	5.39	6.29	1.84	1.74	3.54	5.56	0.11	6.69	0.01	0.17	0.47	4.5	0.03	0.59	5.36	5.31	99.91	14.08	5.01	0.57	0.67	10.39	0.59
DonB_bin_80	3.92	89.53	95.86	98.92	95.14	29.95	97.35	24.78	74.01	49.29	34.75	5.49	52.5	12.2	86.71	98.16	98.58	96.42	94.22	80.12	48.46	50.15	97.95	98.6	97.23	83.83	5.15	16.73	99.02	98.48	1.19	0.92	1.3	99.31	99.16	98.83	99.56	95.42	94.96	99.54	94.25	99.58	98.94	98.86	99.18	97.21	98.8
DonB_bin_81	5.24	13.99	11.52	12.79	30.78	17.27	11.18	7.39	5.08	5.45	5.31	23.42	11.45	17.9	10.91	25.25	7.73	5.78	5.62	16.07	9.77	88.63	63.32	76.11	49.65	38.93	10.96	22.38	9	10.54	2.68	4.83	1.9	13	13.28	11.32	7.74	29.01	29.37	74.04	47.78	31.1	45.75	50.8	31.36	18.52	56.23
DonB_bin_82	37.39	21.3	19.78	12.13	25.39	31.39	24.56	39.18	35.85	38.6	40.9	35.33	34.27	38.39	32.02	8.8	10.25	8.9	24.83	26.78	31.26	36.48	5.97	9.27	11.89	8.77	29.42	9.26	24.14	23.99	30.78	37.28	31.52	10.14	25.36	31.77	10.58	33.6	23.72	29.67	37.6	35.87	29.59	48.23	15.34	25.25	21.5
DonB_bin_83	0.95	1.57	2.24	1.99	15.76	4.22	2.83	2.38	2.28	2.66	1.68	9.77	3.12	9.75	3.04	2.54	2.65	3.21	1.02	4	20.55	39.26	4.38	18.8	70.33	41.13	3.87	3.41	2.37	4.28	0.72	1.57	0.64	0.82	3.18	3.34	1.33	9.19	17.55	81.07	42.29	42.07	84.49	46.91	30.72	20.48	49.97
DonB_bin_84	2.6	5.81	6.86	4.61	5.97	6.47	4.87	5.92	5.08	5.39	4.07	10.61	10.3	13.84	12	6.94	6.09	2.89	3.63	6	6.34	74.63	8.9	9.82	8.02	10.24	7.76	5.5	8.44	4.41	1.86	2.36	0.96	3.08	4.61	5.37	1.62	4.96	4.82	29.52	15.1	10.22	5.12	18.96	8.63	9.45	24.11
DonB_bin_85	4.39	7.26	4.39	3.96	13.76	1.62	1.3	3.8	1.46	1.91	1.58	13.85	10.07	17.98	8.3	11.18	3.77	1.03	1.15	4.59	4.64	64.67	56.41	55.39	12	24.04	4.54	1.52	4.96	1.55	4.08	7.75	0.94	2.29	2.14	3.84	0.42	3.27	6.07	23.57	63.14	8.64	47.89	76.47	5.59	14.59	67.74
DonB_bin_86	19.71	77.47	80.49	70.31	73.29	97.22	93.4	86.4	67.96	81.72	62.99	84.08	83.75	94.42	59.08	76.12	59.08	87.3	76.92	75.23	60.98	89.04	88.78	72.98	86.1	95.72	97.76	94.72	66.38	34.19	12.08	8.3	20.19	88.71	94.7	93.6	87.45	95.24	62.22	90.99	59.07	85.18	59.17	89.58	82.1	38.71	48.4
DonB_bin_88	1.76	0.8	0.55	0.64	0.95	0.4	0.42	1.16	0.66	1.08	0.92	1.57	1.15	0.92	1.12	0.96	0.62	0.31	0.5	0.71	1.03	61.83	10.23	13.12	1.13	0.96	0.77	0.81	1.19	0.72	0.55	0.88	0.44	0.49	0.66	0.74	0.38	1.08	1.03	5.46	28.21	4.14	6.09	6.02	3.51	11.29	16.19
DonB_bin_90	11.18	13.76	6.03	7.25	25.43	2.18	2.86	8.69	4.13	7.69	5.41	29.6	16.99	42.74	19.51	15.26	3.77	1.61	2.39	10.95	14.11	36.67	29.07	35.1	18.39	26.67	9.55	3.1	9.88	2.78	6.85	11.41	0.79	3.31	2.38	4.13	0.74	5.18	8.74	18.03	44.49	9.31	16.54	38.81	3.04	6.51	46.72
DonB_bin_91	5.64	10.12	4.66	5.43	3.49	0.46	9.33	23.03	7.04	29.28	8.39	24.79	17.41	27.44	17.78	16.1	12.26	2.53	12.69	5.18	32.84	38.89	12.7	18.92	3.27	8.31	5.61	11.65	14.22	7.66	0.84	7.18	0.86	3.52	5.8	9	3.73	16.57	6.31	10.82	25.99	3.9	11.83	16.21	3.12	2.7	9.18
DonB_bin_92	0.52	93.01	92.84	91.97	80.78	28.46	77.39	25.79	61.91	30.28	37.16	15.28	55.53	19.16	66.86	76.26	84.7	52.09	31.97	21.16	33.69	24.55	83.84	93.44	91.35	70.78	0.14	0.2	0.65	0.58	0.14	0.13	0.3	95	81.85	81.82	92.15	85.97	98.63	74.4	0.5	0.65	96.89	0.61	0.63	0.58	0.59
DonB_bin_94	13.82	82.45	89.66	62.46	81.17	93.7	23.5	84.83	80.83	74.98	55.29	93.01	95.55	97.46	95.15	74.61	67.18	65.1	51.1	68.07	66.5	57.84	70.9	71.92	66.13	92.05	88.96	73.71	76.8	29.39	10.68	24.2	6.1	52.81	71.04	76.93	32.03	82.12	78.54	59.72	55.25	51.97	32.78	76.23	15.88	9.72	52.06
DonB_bin_95	25.79	2.26	1.94	1.87	3.55	2.78	6.72	7.74	5.74	14.84	6.22	3.07	1	1.36	0.9	2.55	0.72	1.64	4.45	3.3	12.69	60.81	3.16	2.97	2.97	1.47	22.99	13.64	6.58	9.77	3.22	11.53	8.11	2.67	16.16	15.14	2.84	5.99	6.38	13.6	23.71	21.42	9.58	12.4	15.68	11.41	6.55
DonB_bin_99	33.22	10.04	5.56	13.78	11.18	10.73	4.04	20.25	5.96	14.07	17.7	7.33	0.42	0.16	1.15	8.83	2.22	0.47	0.27	8.03	22.42	96.22	9.94	3.38	11.51	1.25	0.83	1.48	4.34	6.29	13.65	4.88	14.98	13.24	6.37	7.89	8.03	61.05	31.56	87.36	99.42	80.89	92.05	2.54	80.44	61.3	79.93
