Sample	feature	coverage
A1E02M02	DonA_bin_34	2.01
A1E02M02	DonA_bin_35	0.78
A1E02M02	DonA_bin_36	49.31
A1E02M02	DonA_bin_37	36.44
A1E02M02	DonA_bin_38	62.59
A1E02M02	DonA_bin_39	64.03
A1E02M02	DonA_bin_4	0.8
A1E02M02	DonA_bin_40	65.44
A1E02M02	DonA_bin_41	10.42
A1E02M02	DonA_bin_42	24.8
A1E02M02	DonA_bin_43	44.03
A1E02M02	DonA_bin_44	0.36
A1E02M02	DonA_bin_45	33.82
A1E02M02	DonA_bin_46	99.85
A1E02M02	DonA_bin_47	0.62
A1E02M02	DonA_bin_48	86.69
A1E02M02	DonA_bin_49	19.08
A1E02M02	DonA_bin_5	12.96
A1E02M02	DonA_bin_50	91.83
A1E02M02	DonA_bin_51	2.53
A1E02M02	DonA_bin_52	98.3
A1E02M02	DonA_bin_53	71.12
A1E02M02	DonA_bin_54	21.62
A1E02M02	DonA_bin_55	99.01
A1E02M02	DonA_bin_56	99.66
A1E02M02	DonA_bin_57	40.5
A1E02M02	DonA_bin_58	96.9
A1E02M02	DonA_bin_59	11.9
A1E02M02	DonA_bin_6	5.73
A1E02M02	DonA_bin_60	5.27
A1E02M02	DonA_bin_61	11.47
A1E02M02	DonA_bin_62	40.33
A1E02M02	DonA_bin_63	19.37
A1E02M02	DonA_bin_64	38.28
A1E02M02	DonA_bin_65	37.1
A1E02M02	DonA_bin_66	2.24
A1E02M02	DonA_bin_67	7.28
A1E02M02	DonA_bin_68	23.08
A1E02M02	DonA_bin_69	64.4
A1E02M02	DonA_bin_7	20.05
A1E02M02	DonA_bin_70	5.27
A1E02M02	DonA_bin_71	36.15
A1E02M02	DonA_bin_72	12.55
A1E02M02	DonA_bin_73	55.51
A1E02M02	DonA_bin_74	43.28
A1E02M02	DonA_bin_75	37.52
A1E02M02	DonA_bin_76	83.31
A1E02M02	DonA_bin_77	23.19
A1E02M02	DonA_bin_78	2.87
A1E02M02	DonA_bin_79	99.77
A1E02M02	DonA_bin_8	88.9
A1E02M02	DonA_bin_80	56.77
A1E02M02	DonA_bin_81	9.29
A1E02M02	DonA_bin_82	26.23
A1E02M02	DonA_bin_83	11.02
A1E02M02	DonA_bin_84	48.28
A1E02M02	DonA_bin_85	15.07
A1E02M02	DonA_bin_86	11.98
A1E02M02	DonA_bin_87	12.74
A1E02M02	DonA_bin_88	93.49
A1E02M02	DonA_bin_89	33.31
A1E02M02	DonA_bin_9	70.15
A1E02M02	DonA_bin_90	4.01
A1E02M02	DonA_bin_91	39.45
A1E02M02	DonA_bin_92	90.23
A1E02M02	DonA_bin_93	90.46
A1E02M02	DonA_bin_94	57.53
A1E02M02	DonA_bin_95	40.59
A1E02M02	DonA_bin_96	80.18
A1E02M02	DonA_bin_97	4.5
A1E02M02	DonA_bin_98	3.32
A1E02M02	DonA_bin_99	5.5
A1E02M02	DonB_UnBin	14.47
A1E02M02	DonB_bin_1	27.4
A1E02M02	DonB_bin_10	14.98
A1E02M02	DonB_bin_100	46.53
A1E02M02	DonB_bin_101	15.57
A1E02M02	DonB_bin_102	4.07
A1E02M02	DonB_bin_103	20
A1E02M02	DonB_bin_104	10.85
A1E02M02	DonB_bin_105	73.16
A1E02M02	DonB_bin_106	23.7
A1E02M02	DonB_bin_107	49.19
A1E02M02	DonB_bin_108	8.82
A1E02M02	DonB_bin_109	32.87
A1E02M02	DonB_bin_11	40.9
A1E02M02	DonB_bin_110	94.03
A1E02M02	DonB_bin_111	0.84
A1E02M02	DonB_bin_112	40.25
A1E02M02	DonB_bin_113	49.65
A1E02M02	DonB_bin_114	19.74
A1E02M02	DonB_bin_115	1.8
A1E02M02	DonB_bin_116	1.52
A1E02M02	DonB_bin_117	99.83
A1E02M02	DonB_bin_118	4.7
A1E02M02	DonB_bin_119	36.51
A1E02M02	DonB_bin_12	88.2
A1E02M02	DonB_bin_120	31.59
A1E02M02	DonB_bin_121	8.35
A1E02M02	DonB_bin_122	99.07
A1E02M02	DonB_bin_123	3.88
A1E02M02	DonB_bin_124	5.66
A1E02M02	DonB_bin_125	16.8
A1E02M02	DonB_bin_126	29.49
A1E02M02	DonB_bin_127	17.85
A1E02M02	DonB_bin_128	8.51
A1E02M02	DonB_bin_129	9.84
A1E02M02	DonB_bin_13	5.07
A1E02M02	DonB_bin_130	14.74
A1E02M02	DonB_bin_131	99.73
A1E02M02	DonB_bin_132	0.68
A1E02M02	DonB_bin_133	0.06
A1E02M02	DonB_bin_134	28.12
A1E02M02	DonB_bin_135	3.44
A1E02M02	DonB_bin_136	1.45
A1E02M02	DonB_bin_137	11.9
A1E02M02	DonB_bin_138	10.43
A1E02M02	DonB_bin_139	80.82
A1E02M02	DonB_bin_14	18.5
A1E02M02	DonB_bin_140	18.86
A1E02M02	DonB_bin_141	70.07
A1E02M02	DonB_bin_142	0.89
A1E02M02	DonB_bin_15	31.56
A1E02M02	DonB_bin_16	22.03
A1E02M02	DonB_bin_17	0.99
A1E02M02	DonB_bin_18	0.72
A1E02M02	DonB_bin_19	0.57
A1E02M02	DonB_bin_2	6.23
A1E02M02	DonB_bin_20	2.97
A1E02M02	DonB_bin_21	53.8
A1E02M02	DonB_bin_22	2.47
A1E02M02	DonB_bin_23	3.28
A1E02M02	DonB_bin_24	4.4
A1E02M02	DonB_bin_25	0.9
A1E02M02	DonB_bin_26	6.52
A1E02M02	DonB_bin_27	1.87
A1E02M02	DonB_bin_28	4.84
A1E02M02	DonB_bin_29	2.17
A1E02M02	DonB_bin_3	8.3
A1E02M02	DonB_bin_30	1.88
A1E02M02	DonB_bin_31	2.16
A1E02M02	DonB_bin_32	4.35
A1E02M02	DonB_bin_33	13.89
A1E02M02	DonB_bin_34	38.4
A1E02M02	DonB_bin_35	37.36
A1E02M02	DonB_bin_36	16.69
A1E02M02	DonB_bin_37	27.49
A1E02M02	DonB_bin_38	7.02
A1E02M02	DonB_bin_39	94.86
A1E02M02	DonB_bin_4	98.65
A1E02M02	DonB_bin_40	5.44
A1E02M02	DonB_bin_41	98.44
A1E02M02	DonB_bin_42	10.74
A1E02M02	DonB_bin_43	2.82
A1E02M02	DonB_bin_44	10.61
A1E02M02	DonB_bin_45	17.28
A1E02M02	DonB_bin_46	31.09
A1E02M02	DonB_bin_47	7.06
A1E02M02	DonB_bin_48	18.34
A1E02M02	DonB_bin_49	27.74
A1E02M02	DonB_bin_5	2.56
A1E02M02	DonB_bin_50	7.67
A1E02M02	DonB_bin_51	4.59
A1E02M02	DonB_bin_52	68.79
A1E02M02	DonB_bin_53	0.86
A1E02M02	DonB_bin_54	13.6
A1E02M02	DonB_bin_55	1.61
A1E02M02	DonB_bin_56	26.52
A1E02M02	DonB_bin_57	7
A1E02M02	DonB_bin_58	0.03
A1E02M02	DonB_bin_59	99.9
A1E02M02	DonB_bin_6	1.32
A1E02M02	DonB_bin_60	69.87
A1E02M02	DonB_bin_61	7.79
A1E02M02	DonB_bin_62	99.24
A1E02M02	DonB_bin_63	0.28
A1E02M02	DonB_bin_64	11.43
A1E02M02	DonB_bin_65	17.04
A1E02M02	DonB_bin_66	1.21
A1E02M02	DonB_bin_67	24.26
A1E02M02	DonB_bin_68	5.05
A1E02M02	DonB_bin_69	15.71
A1E02M02	DonB_bin_7	0.88
A1E02M02	DonB_bin_70	6.34
A1E02M02	DonB_bin_71	0.28
A1E02M02	DonB_bin_72	18.95
A1E02M02	DonB_bin_73	4.01
A1E02M02	DonB_bin_74	31.82
A1E02M02	DonB_bin_75	1.05
A1E02M02	DonB_bin_76	22.54
A1E02M02	DonB_bin_77	15.88
A1E02M02	DonB_bin_78	24.51
A1E02M02	DonB_bin_79	0.23
A1E02M02	DonB_bin_8	4.55
A1E02M02	DonB_bin_80	95.86
A1E02M02	DonB_bin_81	11.52
A1E02M02	DonB_bin_82	19.78
A1E02M02	DonB_bin_83	2.24
A1E02M02	DonB_bin_84	6.86
A1E02M02	DonB_bin_85	4.39
A1E02M02	DonB_bin_86	80.49
A1E02M02	DonB_bin_87	3.75
A1E02M02	DonB_bin_88	0.55
A1E02M02	DonB_bin_89	9.05
A1E02M02	DonB_bin_9	2.05
A1E02M02	DonB_bin_90	6.03
A1E02M02	DonB_bin_91	4.66
A1E02M02	DonB_bin_92	92.84
A1E02M02	DonB_bin_93	9.19
