A1E02M01.mp.profile	A1E02M02.mp.profile	A1E02M04.mp.profile	A1E02M05.mp.profile	A1E02M07.mp.profile	A1E02M08.mp.profile	A1E02P1.mp.profile	A1E02P2.mp.profile	A1E03M01.mp.profile	A1E03M02.mp.profile	A1E03M05.mp.profile	A1E03M06.mp.profile	A1E03P1.mp.profile	A1E03P2.mp.profile	A1E03P3.mp.profile	A1E03P4.mp.profile	A1E04M01.mp.profile	A1E04M02.mp.profile	A1E04M04.mp.profile	A1E04M05.mp.profile	A1E04M07.mp.profile	A1E04M08.mp.profile	A1E04P1.mp.profile	A1E04P2.mp.profile	A1E04P3.mp.profile	A1E04P4.mp.profile	A1E09F1.mp.profile	A1E09F2.mp.profile	A1E09M01.mp.profile	A1E09M02.mp.profile	A1E09M06.mp.profile	A1E09M07.mp.profile	A1E09M1.mp.profile	A1E09M2.mp.profile	A1E10F.mp.profile	A1E10M01.mp.profile	A1E10M02.mp.profile	A1E10M04.mp.profile	A1E10M05.mp.profile	A1E10M.mp.profile	A1E12F.mp.profile	A1E12M01.mp.profile	A1E12M02.mp.profile	A1E12M05.mp.profile	A1E12M06.mp.profile	A1E12M.mp.profile	Wild116.mp.profile	X608.mp.profile
A1E03M05.mp.profile	17.6365306736768	20.9105983190419	17.2530138939009	17.9097555608804	23.3179113974183	18.3814436877316	16.997367606282	19.1874119726906	18.7758509757902	17.8721205760079	0	17.0140129670623	22.3438262889514	22.7694888134786	18.9647127021634	18.2056900450342	22.429362127614	19.8389388076112	22.5796374130225	19.2040840243777	17.5900694447195	19.6549453350966	20.625101370975	19.5589990911713	19.3995424383269	18.4529304764691	19.3649467204633	18.1063432547704	23.663400856509	22.6761840973027	20.3188481921996	20.5911891621088	17.5090526593559	19.2341030055414	18.8444636514791	23.789164569567	20.9376158751344	21.3307950387435	19.9353405724034	16.1450517169586	20.7753173217422	20.9542244358247	21.8857527312613	21.0240528833796	17.4344434693558	18.4967894161796	22.6368747760418	23.8897021711283
A1E03M06.mp.profile	20.3379402011768	21.7867229381388	18.403159843291	18.7428195561039	21.7564376420188	19.2736598310666	17.8653742522489	20.3262237271434	19.7152734851537	18.2400211073526	17.0140129670623	0	23.2045559065675	24.4747430587481	21.2508374669944	20.8580723607186	23.5896036315171	19.031504568479	21.2333967843663	19.9904287267322	20.233359921161	20.5520784584386	21.3304007136959	20.350624193681	21.1400995448818	20.0934144282849	20.8762472595224	20.0979956306888	21.050214556077	21.6275128428334	21.1136521350921	19.7768275905173	19.4588614604056	20.8858659107401	19.9652091986091	23.1318868243359	21.4122184764531	20.8109193428341	18.9196960104762	17.722024882068	21.9760912499403	22.7467032184309	22.5611725894702	21.8981764536735	19.8359977333073	20.6887174558536	22.5634447239289	24.2400511216069
A1E03P1.mp.profile	21.3256275431592	24.0823756568079	21.4973821848044	21.03020373362	25.4829299750017	22.3243985015058	20.6738193109462	22.4780708115832	22.4544941240652	22.1321747632865	22.3438262889514	23.2045559065675	0	17.8497389724368	16.8431713445136	17.2816627583689	25.154780971516	22.8708222903555	25.3917920727529	22.3117611648264	22.0156847907262	22.6185717915461	23.3510385142618	21.8218575250667	22.5079374541089	20.6487157434939	17.1720639129401	18.0403440701008	24.8966312900311	23.7963093339181	22.5824151743009	19.8466557518686	18.7090128474154	17.9074844936891	21.4946909930546	24.2090475184663	23.1359295194728	22.1975518037451	21.7068147384882	20.4250715835299	21.7550951273743	24.2846258685081	24.6122329226121	23.2946300825402	21.5820884858962	21.5376796519505	18.0531118615142	24.9013357380603
A1E03P2.mp.profile	19.9832867027003	23.3337092119038	21.1351428100698	20.1150572975027	25.0996481387897	21.268913014816	20.2108814448832	22.2062255302907	22.5173892166304	20.7407716641134	22.7694888134786	24.4747430587481	17.8497389724368	0	20.1176843411198	18.0987661916188	22.4705320568432	21.2626755520964	23.8975843452034	21.7104609381407	21.8416033548346	22.9000884205699	23.2841156630895	22.5372757658088	22.4697715237122	20.692332851736	18.922659462732	19.1104233672382	25.1525033147906	23.7493698381411	22.4338586848336	23.0018142619869	20.5774817242679	17.4141861144609	22.032273375928	23.8636441535928	23.1157706507838	22.2351778327936	21.9687602546737	20.2316502603264	22.7159873209484	25.0522471955138	24.9530131091467	23.4446519285755	21.3605082475764	21.1181968133019	20.8259548924732	24.1137559994446
A1E03P3.mp.profile	17.9001358150443	20.1420421288283	17.3688019544368	17.0229491979845	22.0689955473235	18.2249097400138	15.9468737735982	18.7298348626427	18.2924744376553	18.1412329241436	18.9647127021634	21.2508374669944	16.8431713445136	20.1176843411198	0	12.4606144318473	22.8299884541423	19.5099365477509	24.1479964994521	19.8511146931179	17.703840325592	18.3931952859473	18.8547238114871	17.3874937586289	17.8700560355221	16.0838990679713	17.1300313830637	12.6267302159873	23.2105862631011	20.3753806909737	19.3600355960176	17.9454430933593	13.5007216097322	16.5199143440672	16.8361564049586	20.8599252472332	19.0455229215391	20.0730455604892	18.0096845990551	15.1426265271323	18.8727115019509	19.4880904024395	20.2222752137324	18.3249879812652	17.8775275094548	17.7911369305693	19.5340423776905	21.7035380012142
A1E03P4.mp.profile	18.3367058022406	20.8603375859419	17.2599833285741	17.8702715883448	22.8293506925331	18.4373682377356	16.3884235960661	19.450263233618	17.9566240018465	18.0363212925091	18.2056900450342	20.8580723607186	17.2816627583689	18.0987661916188	12.4606144318473	0	23.1899272339535	19.6758993524552	24.0989162728837	20.489500505759	18.6522791167395	18.8680369820649	19.3807354617586	18.8818065850198	18.8463341435533	16.3637215807681	16.5673423024943	12.9235227260952	23.2723709516528	21.0081830633112	19.8635830506206	18.5385532565476	14.838384653962	15.7169718524412	17.2636876099493	22.0084431309793	19.732390773058	20.0283608312949	18.2933010327202	15.4555922271328	20.3708191969815	20.7920437494923	21.4992525115423	19.8169890408629	17.981337092515	17.5498496567165	19.4473712493652	22.3401883429112
A1E04M01.mp.profile	22.5155257079886	24.4568636479967	23.2087200187683	21.6042890532651	22.9926884250601	22.6060327029703	20.7467259228012	20.404566996244	22.7627300531025	19.3272418060767	22.429362127614	23.5896036315171	25.154780971516	22.4705320568432	22.8299884541423	23.1899272339535	0	18.1100722994	16.790912434034	18.0830946592732	21.8749305613128	23.8834587266969	26.5566696515094	23.4811882807876	22.3826624420956	23.6612064790816	22.9306789164892	21.9034480478739	22.0473938390962	21.9858591502789	21.3346688579954	22.8212060376589	21.2773839469768	22.723335472445	22.199894302126	16.3641860573679	18.8847047918632	18.9793209870874	18.6377242422364	20.2756514736582	19.9610432303194	24.9757699031251	24.594165131905	22.0323591818374	17.0119660111613	21.5940764216159	23.7840181763148	19.2732450815269
A1E04M02.mp.profile	16.7051534009533	18.2413326212617	17.6217851342275	18.6031165738102	20.1365473221899	16.7413098367941	15.2660915812247	15.8043554595052	18.6828331540943	16.948618135872	19.8389388076112	19.031504568479	22.8708222903555	21.2626755520964	19.5099365477509	19.6758993524552	18.1100722994	0	14.1374340626868	12.5023220177408	16.3932419237342	16.9080958670536	21.1952497360116	15.9292856826632	14.3193448532308	18.4622156936512	19.1497119747047	18.2840767019912	17.8661612116158	17.8597824864216	17.3134296582265	18.0683471560023	18.1235658071503	19.3693968668421	15.7322277790043	18.4396298219716	15.6277908685948	17.0674132209794	16.7375207228586	14.7354181431292	17.4084719224705	19.3967396045518	18.3810082236166	18.4694555361684	17.3889891957376	19.1033814146358	22.5623612946821	19.6984726389884
A1E04M04.mp.profile	21.8522918273323	23.5712957047508	22.7949167172836	22.1767495240861	21.8590984398086	22.0642223132316	19.6161178808452	18.9935935545171	22.6547974966766	20.7691825422561	22.5796374130225	21.2333967843663	25.3917920727529	23.8975843452034	24.1479964994521	24.0989162728837	16.790912434034	14.1374340626868	0	15.5586028163667	20.7747810326843	21.8957639064433	25.8358646659356	21.5885260113842	20.9623547625598	23.670101389345	23.0053275257893	22.7150996266091	19.192796287773	20.8178589895158	21.4239775045606	22.736819548703	22.2754212682093	23.4796270068051	21.1585341788059	19.7172784995905	19.8678796838139	19.7049295374909	19.0214670718525	19.4724177035725	21.1047051567664	24.5561226418053	22.1895650589468	21.6001640324079	20.3391010361049	22.1447454647678	25.5127208874302	19.6314360687991
A1E04M05.mp.profile	15.8131414443125	17.9137417215364	17.2515586391541	17.9023074501632	20.6116511121155	17.508098780691	15.9142723485787	17.274264142389	17.9166935986659	16.6419506856443	19.2040840243777	19.9904287267322	22.3117611648264	21.7104609381407	19.8511146931179	20.489500505759	18.0830946592732	12.5023220177408	15.5586028163667	0	16.1841037167685	16.9594337279321	21.9949045782388	17.8861301156874	16.9195004753566	19.2639080526171	19.7938094956883	18.7366023103738	19.625020980439	19.8763816661979	16.6599590850417	19.0692177327627	17.7481964001559	19.3685737737708	18.4587850301165	18.5969944299906	16.3730975442463	16.0854927940251	17.3807095731208	15.6766393781403	17.3219561110377	20.5889836798283	20.0659719149933	19.2687758290667	16.8392051227554	17.6707749030157	23.8414557126835	20.1831604519123
