A1E02M01.mp.profile	A1E02M02.mp.profile	A1E02M04.mp.profile	A1E02M05.mp.profile	A1E02M07.mp.profile	A1E02M08.mp.profile	A1E02P1.mp.profile	A1E02P2.mp.profile	A1E03M01.mp.profile	A1E03M02.mp.profile	A1E03M05.mp.profile	A1E03M06.mp.profile	A1E03P1.mp.profile	A1E03P2.mp.profile	A1E03P3.mp.profile	A1E03P4.mp.profile	A1E04M01.mp.profile	A1E04M02.mp.profile	A1E04M04.mp.profile	A1E04M05.mp.profile	A1E04M07.mp.profile	A1E04M08.mp.profile	A1E04P1.mp.profile	A1E04P2.mp.profile	A1E04P3.mp.profile	A1E04P4.mp.profile	A1E09F1.mp.profile	A1E09F2.mp.profile	A1E09M01.mp.profile	A1E09M02.mp.profile	A1E09M06.mp.profile	A1E09M07.mp.profile	A1E09M1.mp.profile	A1E09M2.mp.profile	A1E10F.mp.profile	A1E10M01.mp.profile	A1E10M02.mp.profile	A1E10M04.mp.profile	A1E10M05.mp.profile	A1E10M.mp.profile	A1E12F.mp.profile	A1E12M01.mp.profile	A1E12M02.mp.profile	A1E12M05.mp.profile	A1E12M06.mp.profile	A1E12M.mp.profile	Wild116.mp.profile	X608.mp.profile
A1E03M05.mp.profile	0.332353566764643	0.285819135709043	0.274753817573855	0.320553898083085	0.523666528549979	0.346900304070091	0.511902524404874	0.49604280079144	0.252143862607193	0.257174588576188	0	0.404047889392817	0.482544003491199	0.613613919319303	0.536560507312101	0.488335997667199	0.615053634731228	0.456909735772566	0.570108321494584	0.466243973312199	0.302753639449272	0.285806957161391	0.441544011691198	0.3383221	0.3130563	0.438906828054659	0.519229748077025	0.536950669457399	0.5944113	0.542904954290495	0.383314538331454	0.400661319867736	0.569353164597025	0.490188976471654	0.5110705	0.572173121391344	0.441772255822774	0.555608444439156	0.54780246782963	0.568787421560629	0.415735612360342	0.352851135285113	0.425182557481744	0.464493885797554	0.479876126006193	0.344143667207183	0.54658153198723	0.525512276275614
A1E03M06.mp.profile	0.521304771804284	0.488196751180325	0.529164564792403	0.490029349002935	0.587388358738836	0.547809186952297	0.675824732417527	0.617601695599576	0.4697449	0.471048347104835	0.404047889392817	0	0.613742296564425	0.590961940903806	0.669341450401217	0.625453143817971	0.580714767714092	0.54496983650905	0.521269447873055	0.5307743	0.501088024727994	0.517897127684569	0.652912186771954	0.546347322682634	0.549729422513529	0.660522633947736	0.604421559336766	0.679545164090967	0.626597618670118	0.633686281684314	0.511913175595659	0.522435619391095	0.716033856793228	0.607527978494404	0.616930019153499	0.609743239025676	0.54883446767483	0.622901556564767	0.646484270703146	0.663145033685496	0.600374760037476	0.430938571546928	0.530993370350995	0.638443473455215	0.565918143408186	0.560581	0.612766461276646	0.5949038
A1E03P1.mp.profile	0.548607190278562	0.55293346705998	0.450681119727552	0.512060275603014	0.687554284377714	0.580139516027903	0.7897273315409	0.763089371073189	0.498064125096794	0.491769274588463	0.482544003491199	0.613742296564425	0	0.438032384295142	0.184755718475572	0.209363620936362	0.710764630155916	0.7096500016225	0.760911735863239	0.663772916811354	0.534816339555098	0.525134852513485	0.414226575732027	0.606561539343846	0.568182743181726	0.414893287766007	0.357285428542914	0.263173184206704	0.727701327229867	0.7401575	0.6180941	0.596940420917874	0.28927267768183	0.308827572793107	0.864790413520958	0.7555633366655	0.727927854414429	0.729469154106169	0.75304016173996	0.894898315765252	0.619384880969244	0.654597800000001	0.680443963911208	0.66509679952904	0.685991347101297	0.511268024436598	0.386627769331389	0.764878411756079
A1E03P2.mp.profile	0.587531120623444	0.636807499999999	0.655686186078453	0.532487906497581	0.673275234655047	0.622754167963959	0.8034786	0.759804336029349	0.584872858487286	0.596464419292884	0.613613919319303	0.590961940903806	0.438032384295142	0	0.521707580426895	0.430819757704939	0.665032900490129	0.685624662875067	0.7256951	0.652974065297407	0.592388061141791	0.616020104005026	0.690592346411148	0.711185885559294	0.661454183072709	0.709459	0.467736626613168	0.567888243211175	0.683014784150739	0.699838154975724	0.666202049930308	0.658185651272152	0.575451842454816	0.446321955367805	0.881420694071035	0.7318524	0.734827513258625	0.720815313959234	0.770173922982608	0.9086929	0.653407030681406	0.660382949057443	0.682862515856874	0.683133257409965	0.5977991	0.582128958212896	0.422239584447917	0.751916675191667
A1E03P3.mp.profile	0.570202814040563	0.564354591088648	0.4534702	0.547499496374773	0.701808165813675	0.591814555088733	0.784492846123211	0.794140979414098	0.539158338705419	0.551392298126534	0.536560507312101	0.669341450401217	0.184755718475572	0.521707580426895	0	0.237589118794559	0.78026121098694	0.747915187395759	0.801654950413737	0.705287496850624	0.569753756975375	0.542564371282185	0.418194041819404	0.601686680506004	0.579385573815671	0.407250751812688	0.455899191179838	0.229086084362913	0.748424624527387	0.75064060025624	0.670735168294067	0.636849063684907	0.240662986099448	0.374585906187886	0.858245757473727	0.785112946278237	0.74530534906107	0.76449425289885	0.77217226582584	0.882818870704718	0.661093947492276	0.679109471643789	0.688318437663687	0.688937582256308	0.725736631434158	0.572361150326403	0.449765252394364	0.805249031837161
A1E03P4.mp.profile	0.567142213428442	0.554643488660872	0.4380947	0.532818989768545	0.694492362521563	0.601060260636156	0.816879254219813	0.789949378994938	0.528201834870642	0.519420983739442	0.488335997667199	0.625453143817971	0.209363620936362	0.430819757704939	0.237589118794559	0	0.740619312969034	0.710876285543814	0.770767142691785	0.675768386518935	0.548199154819915	0.543573871786935	0.436512743651275	0.624181087254326	0.586866776060032	0.44377796094449	0.414107082821417	0.228528684279303	0.744865923459777	0.733029893211957	0.62792045116818	0.602016360201636	0.35094080264112	0.327780499167075	0.872407661722298	0.735127333781833	0.736391047278209	0.73182434636487	0.748330762249615	0.887758671939668	0.626429631893335	0.648761859504744	0.691273738254747	0.692395984677189	0.657892114473028	0.519531331835966	0.386289223830151	0.784558624595519
A1E04M01.mp.profile	0.621271132555103	0.626258312122507	0.703374263144156	0.581782441821756	0.589677141032286	0.662373283118664	0.624250012724996	0.50788042145381	0.649235670152866	0.576173442382656	0.615053634731228	0.580714767714092	0.710764630155916	0.665032900490129	0.78026121098694	0.740619312969034	0	0.502916748541626	0.456850962944711	0.460542707891458	0.596344281645073	0.669566916521654	0.739176117370747	0.68686287828428	0.599612500096875	0.740793377761986	0.740016290994298	0.807707476917009	0.604955898761025	0.629485655577151	0.588413461737981	0.647086858810913	0.789540384183846	0.75533869786452	0.684141178964705	0.44493946651816	0.528357865074747	0.467824786261325	0.513538694584522	0.777506666748	0.555016844498315	0.671120449331933	0.637511826870861	0.601854740278211	0.495273051418085	0.565399986920003	0.648290335170966	0.462278807544239
A1E04M02.mp.profile	0.44904143773964	0.407833518433296	0.525091413708864	0.4641762	0.3898342	0.463880319582048	0.480446703910659	0.383230715869249	0.521419147858086	0.5111246	0.456909735772566	0.54496983650905	0.7096500016225	0.685624662875067	0.747915187395759	0.710876285543814	0.502916748541626	0	0.321783135643373	0.225558577444142	0.417712503800624	0.440969072048454	0.636727227145469	0.423839686424047	0.363382995492551	0.609320778135844	0.702936174265956	0.77815946655216	0.385077492238376	0.469665426516729	0.458994627050269	0.482720581047796	0.813135456059363	0.725939482218155	0.470669679399548	0.400996419800716	0.253881986529503	0.43268644182839	0.383511384946585	0.622536875492625	0.3965799	0.411200529439973	0.394856251285937	0.404174251043563	0.392796121440775	0.457754254224575	0.7209796	0.435560656443934
A1E04M04.mp.profile	0.541516022924199	0.5342257	0.636249790937553	0.562522312504462	0.525625705125141	0.618109266338243	0.5754964	0.423793686430947	0.630989363098936	0.597835519567104	0.570108321494584	0.521269447873055	0.760911735863239	0.7256951	0.801654950413737	0.770767142691785	0.456850962944711	0.321783135643373	0	0.311435731143573	0.522315371652694	0.572703093175774	0.73537433969385	0.575390978769549	0.523321176166059	0.7305454	0.750084712495765	0.830567616943238	0.479234773961739	0.55668773350316	0.558094033714105	0.605699059145141	0.864585413541458	0.782280621771937	0.586363479318174	0.423672	0.421692028915399	0.465982526700873	0.460611353938864	0.7019191	0.50575270115054	0.54688433203265	0.514818324259084	0.549573597308119	0.4987226	0.593614359361435	0.756902351380471	0.496169949616995
A1E04M05.mp.profile	0.389222469461123	0.372850937285094	0.503443974483404	0.44802883440865	0.405860321758097	0.48195386687924	0.488188148818815	0.393176530341174	0.466726793345359	0.436955331086599	0.466243973312199	0.5307743	0.663772916811354	0.652974065297407	0.705287496850624	0.675768386518935	0.460542707891458	0.225558577444142	0.311435731143573	0	0.393219930339004	0.429978300492405	0.569924721503764	0.466990120048518	0.406038510905776	0.558594255859426	0.68221498411075	0.7395407	0.422388713358307	0.502575675643918	0.412482453120614	0.475976526201174	0.7435106	0.7031249	0.520549228082384	0.389163538916354	0.265701063285053	0.405959570297979	0.3991715	0.667012366701237	0.388247216474165	0.43318975829744	0.393753469687674	0.397269468498208	0.425204642520464	0.415312183062437	0.681193604358082	0.464307292861459
